bRanch#86,127.0.0.1,Queued,1
bRanch#86,127.0.0.1,Queued,2
bRanch#46,127.0.0.1,Allocated,1
bRanch#46,127.0.0.1,Released,1
bRanch#46,127.0.0.1,Allocated,2
bRanch#46,127.0.0.1,Released,2
bRanch#46,127.0.0.1,Allocated,2
bRanch#46,127.0.0.1,Released,2
bRanch#46,127.0.0.1,Allocated,1
bRanch#10,127.0.0.1,Queued,1
bRanch#59,127.0.0.1,Queued,1
bRanch#10,127.0.0.1,Queued,1
bRanch#59,127.0.0.1,Queued,1
bRanch#27,127.0.0.1,Queued,1
bRanch#27,127.0.0.1,Queued,1
bRanch#81,127.0.0.1,Allocated,1
bRanch#35,127.0.0.1,Queued,1
bRanch#81,127.0.0.1,Released,1
bRanch#35,UNKNOWN,Allocated,1
bRanch#81,127.0.0.1,Queued,1
bRanch#35,127.0.0.1,Released,1
bRanch#81,UNKNOWN,Allocated,1
bRanch#35,127.0.0.1,Queued,1
bRanch#81,127.0.0.1,Released,1
bRanch#35,UNKNOWN,Allocated,1
bRanch#35,127.0.0.1,Allocated,2
bRanch#81,127.0.0.1,Queued,1
bRanch#81,127.0.0.1,Queued,2
bRanch#35,127.0.0.1,Released,1
bRanch#81,UNKNOWN,Allocated,1
bRanch#35,127.0.0.1,Released,2
bRanch#81,UNKNOWN,Allocated,2
bRanch#81,127.0.0.1,Queued,1
bRanch#81,127.0.0.1,Queued,1
bRanch#81,127.0.0.1,Queued,1
bRanch#81,127.0.0.1,Released,1
bRanch#81,UNKNOWN,Allocated,1
bRanch#81,127.0.0.1,Released,1
bRanch#81,UNKNOWN,Allocated,1
bRanch#81,127.0.0.1,Released,1
bRanch#81,UNKNOWN,Allocated,1
bRanch#81,127.0.0.1,Released,1
bRanch#81,127.0.0.1,Allocated,1
bRanch#81,127.0.0.1,Queued,1
bRanch#81,127.0.0.1,Queued,1
bRanch#81,127.0.0.1,Queued,1
bRanch#81,127.0.0.1,Queued,1
bRanch#81,127.0.0.1,Queued,1
bRanch#81,127.0.0.1,Queued,1
bRanch#81,127.0.0.1,Queued,1
bRanch#81,127.0.0.1,Queued,1
bRanch#81,127.0.0.1,Queued,1
bRanch#81,127.0.0.1,Queued,1
bRanch#81,127.0.0.1,Released,1
bRanch#81,UNKNOWN,Allocated,1
bRanch#81,127.0.0.1,Released,1
bRanch#81,UNKNOWN,Allocated,1
bRanch#81,127.0.0.1,Released,1
bRanch#81,UNKNOWN,Allocated,1
bRanch#81,127.0.0.1,Released,1
bRanch#81,UNKNOWN,Allocated,1
